Name,LOC,Number Of Members,TCC,WMC,ATFD,Large_Class
AboutAction,14,3,0,1,0,False
AboutDialog2,96,10,0,1,38,False
AbstractChartImplementation,419,10,0,0,0,True
AbstractDocument,53,10,0,1,6,False
AbstractFileChooserPage,357,49,0,3,0,True
AbstractPagesDialog,148,11,0,1,0,False
AbstractTableAndActionsComponent,175,34,0.02,1,26,False
AbstractTagHandler,78,16,0,1,1,False
AbstractURLDocument,3,0,0,0,0,False
AbstractWizard,180,31,0.02,1,33,False
Access,7,2,0,1,0,False
Access,6,1,0,1,0,False
ActionUtil,43,1,0,3,0,False
AdjustTaskBoundsAlgorithm,124,8,0,1,0,False
AlgorithmBase,28,8,0,1,0,False
AlgorithmCollection,65,17,0,1,0,False
AlgorithmException,5,1,0,0,0,False
AlgorithmImpl,59,4,0,9,17,False
AllocationTagHandler,136,12,0,4,43,False
AnimationHostImpl,28,6,0,2,3,False
Args,13,4,0,0,0,False
Args,23,7,0,0,0,False
ArtefactAction,71,9,0.07,5,24,False
ArtefactDeleteAction,5,1,0,0,0,False
ArtefactNewAction,6,1,0,0,0,False
ArtefactPropertiesAction,5,1,0,0,0,False
AssignmentDeleteAction,36,6,0,2,25,False
AssignmentNode,57,12,0.03,2,5,False
AssignmentSaver,28,2,0,2,15,False
BackgroundRendererImpl,21,4,0,1,2,False
BarChartConnectorImpl,62,9,0,1,0,False
BaselineDialogAction,109,14,0,2,29,False
BaselineSaver,10,1,0,1,0,False
BeginDateComparator,6,1,0,1,2,False
BlankLineNode,8,2,0,0,0,False
BooleanDefaultValue,22,3,0,1,13,False
BooleanOptionAction,14,3,0,1,0,False
BooleanOptionRadioUi,59,9,0,1,15,False
BrowserControl,273,18,0,12,9,True
BufferProject,62,17,0,1,2,False
ButtonBuilder,25,4,0,1,1,False
CalculateCriticalPathAction,47,11,0,3,5,False
CalendarChartItem,12,3,0,1,0,False
CalendarEditorPanel,453,26,0,3,0,True
CalendarEventAction,92,17,0.4,1,24,False
CalendarFactoryImpl,15,3,0,1,3,False
CalendarOption,11,2,0,1,1,False
CalendarSaver,57,4,0,1,49,False
CalendarTagHandler,23,5,0,1,6,False
CancelAction,20,5,0,1,0,False
ChangeTaskBoundaryInteraction,62,12,0,1,12,False
ChangeTaskEndInteraction,30,6,0,1,2,False
ChangeTaskProgressInteraction,67,14,0,2,5,False
ChangeTaskProgressRuler,56,6,0,11,1,False
ChangeTaskStartInteraction,32,5,0,1,12,False
CharSetMap,441,28,0,1,39,True
ChartComponentBase,269,56,0.13,1,6,True
ChartDimensions,42,13,0,1,0,False
ChartImageBuilder,41,6,0,4,50,False
ChartImageVisitorImpl,49,7,0,2,26,False
ChartItem,11,3,0,1,0,False
ChartModelBase,655,2,0,0,0,True
ChartModelImpl,236,9,0,0,0,False
ChartModelResource,141,8,0,0,0,False
ChartOptionGroup,16,3,0,1,0,False
ChartPropertiesOption,69,13,0,1,9,False
ChartRendererBase,58,15,0,1,3,False
ChartSelectionImpl,38,7,0,1,0,False
ChartTabContentPanel,186,28,0.02,2,68,True
ChartUIConfiguration,255,18,0,0,0,False
ChartUpdater,21,4,0,1,4,False
ChartViewState,63,13,0.11,1,21,False
CheckBoxAction,26,6,0,4,9,False
ClipboardContents,138,23,0,1,2,False
ClipboardTaskProcessor,116,9,0,4,123,False
CloudProjectActionBase,27,5,0,1,0,False
CollapseAllAction,13,2,0,2,0,False
ColorConvertion,12,2,0,1,0,False
ColorEditor,76,12,0,1,43,False
ColorValueParser,5,1,0,1,0,False
ColouredRectanglePainter,13,3,0,1,5,False
ColumnImpl,85,20,0.01,1,11,False
ColumnManagerPanel,386,21,0,4,0,True
ComboItem,15,4,0,1,0,False
CommandLineExportApplication,115,1,0,0,0,False
Commiter,11,3,0,1,0,False
CommonPanel,20,3,0,1,6,False
Components,9,3,0,0,0,False
ConsoleUIFacade,218,42,0,1,1,False
ConstraintImpl,64,15,0,1,11,False
ContentPaneBuilder,51,6,0,1,0,False
CopyAction,29,5,0,2,13,False
CostAlgorithmImpl,19,1,0,4,28,False
CostImpl,39,9,0,1,1,False
CriticalPathAlgorithmImpl,205,5,0,0,0,True
CSVOptions,67,13,0,1,4,False
CSVSettingsPanel,187,7,0,1,0,False
CustomColumEvent,54,15,0,1,0,False
CustomColumn,128,25,0.01,5,1,False
CustomColumnsException,25,7,0,1,0,False
CustomColumnsManager,66,13,0,1,3,False
CustomColumnsPanel,120,13,0,2,0,False
CustomColumnsStorage,112,22,0.01,1,45,False
CustomColumnsValues,121,13,0,4,0,False
CustomColumnTableModel,69,9,0,4,24,False
CustomPropertiesStructure,22,7,0,1,0,False
CustomPropertiesTagHandler,109,9,0,2,0,False
CustomPropertyDefaultValueAdapter,121,1,0,18,0,False
CustomPropertyEvent,50,15,0,1,2,False
CustomPropertyImpl,24,6,0,1,0,False
CustomPropertyImpl,24,6,0,1,0,False
CustomPropertyListenerImpl,23,4,0,2,7,False
CutAction,36,7,0,2,15,False
DateCellRendererImpl,25,4,0,6,1,False
DateDefaultValue,20,3,0,1,13,False
DateInterval,41,10,0,1,0,False
DateIntervalListEditor,213,1,0,0,0,True
DatePickerEditCommiter,70,11,0,6,20,False
DateUtils,37,1,0,7,0,False
Default,19,3,0,3,2,False
DefaultCollision,29,7,0,1,0,False
DefaultCustomPropertyDefinition,114,23,0.01,5,1,False
DefaultDateIntervalModel,38,7,0,2,10,False
DefaultTagHandler,65,4,0,4,194,False
DefaultValueOption,28,5,0,1,11,False
DefaultWeekTagHandler,38,7,0,1,8,False
DependencyActivityBindingImpl,31,7,0,1,0,False
DependencyGraph,891,6,0,1,0,True
DependencyInteractionRenderer,57,8,0,6,3,False
DependencyTableModel,211,25,0,2,0,False
DependencyTagHandler,135,14,0,1,0,False
DeprecatedProjectExportData,24,7,0,0,0,False
DialogAligner,44,4,0,1,6,False
DialogBuilder,245,1,0,0,0,True
DialogImpl,44,11,0,1,7,False
DocumentCreator,358,49,0,1,0,True
DocumentException,9,2,0,0,0,False
DocumentsMRU,80,10,0,2,0,False
DoubleDefaultValue,20,3,0,1,10,False
DrawDependencyInteraction,80,15,0,1,37,False
DurationParsingException,17,4,0,0,0,False
EditableList,323,32,0,4,0,True
EditMenu,39,6,0,1,0,False
EndDateComparator,6,1,0,1,2,False
EnumerationOptionComboBoxModel,111,12,0,2,0,False
EnumerationOptionImpl,24,4,0,2,3,False
ErrorNotifier,24,5,0,2,1,False
Event,9,2,0,1,1,False
ExitAction,18,4,0,1,0,False
ExpandAllAction,13,2,0,2,0,False
ExpandCollapseAction,17,2,0,4,16,False
ExplicitDependencyImpl,87,16,0,1,23,False
ExportCsvOptionPageProvider,32,6,0,1,5,False
ExporterBase,165,25,0,1,0,False
ExporterChooserPage,63,8,0,7,35,False
ExporterJob,13,4,0,1,0,False
ExporterToCSV,77,11,0,1,8,False
ExporterToImage,132,1,0,0,0,False
ExportException,9,2,0,0,0,False
ExportFieldsTableModel,56,9,0.05,1,10,False
ExportFileWizardImpl,94,10,0,4,0,False
ExportFinalizationJobImpl,9,1,0,3,8,False
ExtensionBasedFileFilter,40,7,0,2,1,False
FacadeFactoryImpl,12,1,0,1,0,False
FacadeImpl,216,22,0.11,1,7,False
FacadeInvalidator,50,11,0,2,0,False
FailureState,4,1,0,1,0,False
FieldChange,15,5,0,1,0,False
FileChooserPage,151,13,0,6,120,False
FileChooserPage,52,9,0,1,20,False
FileChooserPageBase,368,44,0,3,0,True
FileDocument,107,19,0,1,15,False
FileFormatException,16,4,0,0,0,False
FilesCellRenderer,50,3,0,3,116,False
FilesTableModel,42,7,0,1,10,False
FileTypeOption,51,11,0,1,0,False
FileUtil,49,5,0,3,1,False
FindPossibleDependeesAlgorithmImpl,33,5,0,5,4,False
FinishFinishConstraintImpl,56,4,0,4,16,False
FinishStartConstraintImpl,65,4,0,4,16,False
Fonts,26,11,0,0,0,False
Ftp,67,6,0,3,75,False
FtpDocument,93,13,0,1,0,False
FTPOptions,13,5,0,1,0,False
GanttChartController,182,32,0.1,2,88,True
GanttChartOptionPageProvider,11,2,0,1,1,False
GanttChartSelection,62,14,0,1,5,False
GanttChartTabContentPanel,95,18,0,1,11,False
GanttChartViewSaver,28,1,0,7,32,False
GanttDependStructure,32,10,0,1,0,False
GanttDialogInfo,116,15,0,1,3,False
GanttDialogPerson,209,32,0,1,40,False
GanttDialogProperties,42,5,0,4,11,False
GanttExportSettings,120,33,0,1,0,False
GanttGraphicArea,318,37,0,1,0,True
GanttImagePanel,27,4,0,1,7,False
GanttLanguage,354,1,0,0,0,True
GanttLookAndFeelInfo,22,4,0,1,0,False
GanttLookAndFeels,63,10,0,2,22,False
GanttOptions,962,49,0,1,0,True
GanttPreviousState,87,7,0,1,0,False
GanttPreviousStateTask,41,11,0,1,0,False
GanttPrintable,50,5,0,3,9,False
GanttProject,1146,29,0,1,0,True
GanttProjectBase,391,59,0,1,0,True
GanttProjectImpl,229,45,0,1,0,True
GanttResourcePanel,409,52,0.01,1,139,True
GanttSplash,43,6,0,1,9,False
GanttStatusBar,211,10,0,1,0,False
GanttTabbedPane,29,6,0,1,0,False
GanttTask,53,4,0,2,4,False
GanttTaskPropertiesBean,570,85,0.03,1,194,True
GanttTree2,508,51,0,1,0,True
GanttTreeDropListener,56,10,0,1,17,False
GanttTreeExpansionListener,25,2,0,2,4,False
GanttTreeTable,98,12,0,2,0,False
GanttTreeTableModel,469,1,0,0,0,True
GanttTXTOpen,26,3,0,6,4,False
GanttURLChooser,541,36,0,2,0,True
GanttXMLFileFilter,5,1,0,0,0,False
GanttXMLOpen,204,22,0,1,0,False
GanttXMLOptionsParser,234,7,0,2,1325,False
GanttXMLSaver,134,18,0.23,1,42,False
Gaps,15,4,0,1,0,False
GeneralOptionPanel,59,14,0,1,2,False
GPAction,274,45,0.01,1,22,False
GPCalendarProvider,96,1,0,0,0,False
GPColorChooser,93,17,0.18,1,21,False
GPDateCellEditor,57,11,0,1,13,False
GPlainDocument,76,6,0,1,9,False
GPLogger,158,20,0,1,53,False
GPOptionChoicePanel,87,12,0.4,1,9,False
GPToolbar,80,15,0,1,26,False
GPTreeTableBase,1018,14,0,1,0,True
GPTreeTransferHandler,121,13,0,1,0,False
GPVersion,45,32,0,3,0,False
GPViewImpl,24,6,0,1,0,False
GraphData,97,14,0,4,14,False
GTextField,73,8,0,2,0,False
Hardness,37,8,0,1,4,False
HeaderMouseListener,96,11,0,1,13,False
HelpMenu,118,6,0,1,0,False
HighlightOnMouseOver,31,8,0,2,5,False
HistorySaver,32,3,0,2,13,False
HolidayTagHandler,95,11,0,1,32,False
HttpDocument,201,27,0.02,4,36,False
HttpDocumentOutputStream,20,3,0,3,0,False
HumanResource,348,42,0,1,0,True
HumanResourceManager,263,1,0,0,0,False
I18N,45,10,0,1,10,False
I18N,83,20,0,1,16,False
Icons,4,2,0,0,0,False
ImplicitInheritedDependency,61,13,0,1,0,False
ImplicitSubSuperTaskDependency,63,14,0,1,4,False
ImporterBase,106,22,0,3,15,False
ImporterChooserPage,55,11,0,2,5,False
ImporterFactory,37,6,0,2,0,False
ImporterFromGanttFile,195,12,0,6,0,False
ImporterFromTxtFile,22,4,0,1,1,False
ImportFileWizardImpl,63,4,0,1,1,False
IndentTargetFunctionFactory,21,5,0,3,3,False
IntegerDefaultValue,20,3,0,1,10,False
InterfaceOptionPageProvider,117,10,0,10,61,False
IsVisibleOption,35,6,0,4,10,False
Item,9,3,0,0,0,False
Item,30,6,0,1,0,False
JPaintCombo,10,2,0,1,1,False
Key,25,6,0,5,0,False
LafOption,42,8,0,1,11,False
LanguageOption,67,10,0,4,13,False
ListAndFieldsPanel,43,5,0,2,12,False
ListItem,13,5,0,0,0,False
Load,24,7,0,1,0,False
LoadDistribution,163,1,0,0,0,False
LoopDetector,23,3,0,5,4,False
MainApplication,34,3,0,1,3,False
MathUtil,8,1,0,5,0,False
Mediator,18,5,0,1,0,False
MergeResourcesOption,10,5,0,0,0,False
MilestoneTaskFakeActivity,69,15,0,1,1,False
MiltonResourceFactory,116,2,0,0,0,False
MiltonResourceImpl,272,31,0.09,8,5,True
ModelListener,6,1,0,1,2,False
MouseHoverLayerUi,45,4,0,4,13,False
MouseInteractionBase,37,8,0,1,0,False
MouseListenerBase,58,12,0,1,9,False
MouseListenerImpl,127,15,0.21,5,30,False
MouseListenerImpl,32,5,0,1,10,False
MouseMotionListenerBase,23,5,0,2,0,False
MouseMotionListenerImpl,66,5,0,1,139,False
MouseOverHandler,15,2,0,1,9,False
MouseSupport,17,4,0,1,1,False
MouseUtil,25,2,0,3,0,False
MouseWheelListenerBase,32,6,0,1,1,False
MoveTaskInteractions,60,9,0,5,18,False
MultiscreenFitResult,11,4,0,0,0,False
MutationInfo,46,11,0,2,6,False
MutationInfo,25,9,0,1,0,False
MutatorException,5,1,0,0,0,False
MutatorImpl,348,53,0.02,1,49,True
MutatorImpl,73,8,0,3,0,False
MyComboBox,113,17,0.03,1,18,False
MyListModel,17,3,0,1,2,False
MySearchResult,5,1,0,0,0,False
MySearchResult,5,1,0,0,0,False
NameOption,20,4,0,2,8,False
NavigationPanel,44,10,0,3,3,False
NetworkOptionPageProvider,90,7,0,3,46,False
NewProjectAction,18,4,0,1,0,False
NewProjectWizard,13,1,0,1,0,False
NewProjectWizardWindow,40,8,0,1,6,False
NewTaskColorOption,21,4,0,1,0,False
Node,57,13,0,3,8,False
Node,81,15,0.08,1,8,False
NodeData,82,17,0,4,5,False
NodesTransferable,25,5,0,1,0,False
NotificationComponent,171,29,0,1,43,False
NotificationItem,37,9,0,1,0,False
NotificationManagerImpl,124,17,0,1,38,False
NotificationViewImpl,47,11,0.07,2,7,False
OkAction,19,5,0,1,0,False
OnlyShowWeekendsTagHandler,15,3,0,1,2,False
OpenFileDialog,32,4,0,3,3,False
OpenMRUDocumentAction,40,7,0,5,9,False
OpenProjectAction,41,8,0,1,2,False
OpenURLAction,30,5,0,2,0,False
OptionEventDispatcher,5,1,0,1,0,False
OptionPageProviderBase,63,15,0.02,1,6,False
OptionPageProviderPanel,47,6,0,2,7,False
OptionSaver,30,4,0,9,26,False
OptionsPageBuilder,764,55,0,10,0,True
OptionTagHandler,27,4,0,2,8,False
OptionValueUpdater,13,2,0,3,12,False
OSXAdapter,77,10,0,3,35,False
OutdentTargetFunctionFactory,26,6,0,1,2,False
OverwritingMerger,75,8,0,2,62,False
PagePreview,75,14,0.04,5,27,False
PaintCellRenderer,36,7,0,6,2,False
PaintState,7,5,0,0,0,False
Pair,21,6,0,1,0,False
PanelBorder,14,2,0,1,0,False
ParserFactoryImpl,11,2,0,1,7,False
ParsingContext,29,8,0,1,1,False
ParsingState,96,5,0,1,12,False
PasteAction,52,9,0,2,18,False
PluginManager,42,7,0.33,2,9,False
PluginOptionsHandler,23,4,0,2,6,False
PluginPreferencesImpl,190,32,0,1,0,False
PopupSearchCallback,93,17,0,1,17,False
PortfolioImpl,15,3,0,2,0,False
PortfolioTagHandler,42,8,0,3,18,False
PreferenceServiceImpl,119,19,0,1,0,False
PreviewContainer,74,6,0,7,10,False
PreviousStateTasksTagHandler,79,14,0,1,3,False
PrintAction,19,4,0,1,0,False
PrintManager,26,1,0,5,2,False
PrintPreview,722,48,0,3,0,True
PrjInfos,67,14,0,1,0,False
Processor,103,12,0,3,41,False
ProgressBarDialog,77,15,0.14,3,16,False
ProgressEventSender,16,3,0,1,0,False
ProgressMonitorImpl,78,16,0,1,4,False
ProjectBasicOptionPageProvider,30,6,0,1,4,False
ProjectBoundsAlgorithm,29,1,0,0,0,False
ProjectCalendarDialogAction,37,7,0,1,7,False
ProjectCalendarOptionPageProvider,160,19,0.04,1,74,False
ProjectExportAction,25,6,0,1,0,False
ProjectImportAction,23,5,0,1,0,False
ProjectMenu,75,10,0,1,0,False
ProjectMRUMenu,30,6,0,2,1,False
ProjectNamePage,28,6,0,2,1,False
ProjectOpenDiagnosticImpl,134,15,0,3,44,False
ProjectOpenDiagnosticUiFx,69,8,0.11,3,43,False
ProjectOpenDiagnosticUiSwing,7,1,0,1,1,False
ProjectOpenStrategy,243,18,0,4,0,True
ProjectPreviewAction,43,5,0,1,8,False
ProjectPropertiesAction,25,5,0,1,6,False
ProjectRolesOptionPageProvider,68,12,0.07,2,11,False
ProjectSettingsPanel,126,18,0.02,1,38,False
ProjectUIFacadeImpl,244,25,0,1,82,False
PropertiesEventSender,16,3,0,1,0,False
PropertiesUtil,18,1,0,5,0,False
PropertyClassOption,75,11,0,1,25,False
PropertyTypeEncoder,129,14,0,1,24,False
ProxyDocument,416,30,0,1,0,False
RangeSearchFromKey,5,1,0,0,0,False
RangeSearchToKey,5,1,0,0,0,False
ReadOnlyProxyDocument,98,20,0,1,0,False
RecalculateTaskCompletionPercentageAlgorithm,48,5,0,1,26,False
RecalculateTaskScheduleAlgorithm,209,18,0.05,1,71,False
RecentColorsOption,77,13,0,1,3,False
RecoverLastProjectAction,67,11,0,3,6,False
RedlineOption,28,5,0,1,2,False
RedoAction,57,10,0,1,5,False
RefreshViewAction,19,4,0,1,0,False
ReloadWorker,58,5,0,8,12,False
RenderedChartImage,72,12,0,1,23,False
ResourceAction,46,11,0,2,0,False
ResourceActionSet,76,19,0,1,0,False
ResourceAssignmentCollectionImpl,343,17,0,1,0,True
ResourceAssignmentImpl,68,15,0.02,1,2,False
ResourceAssignmentImpl,64,12,0.16,1,2,False
ResourceAssignmentMutatorImpl,44,4,0,5,30,False
ResourceAssignmentStub,64,15,0.02,1,2,False
ResourceBuilder,46,13,0,1,0,False
ResourcechartImplementation,73,9,0,4,80,False
ResourceChartOptionPageProvider,11,2,0,1,1,False
ResourceChartTabContentPanel,52,10,0,1,2,False
ResourceDeleteAction,45,8,0,1,8,False
ResourceEvent,37,8,0,1,0,False
ResourceImportAction,49,9,0,1,18,False
ResourceLoad,16,4,0,1,0,False
ResourceLoadGraphicArea,182,20,0,1,0,False
ResourceLoadOption,25,6,0,1,0,False
ResourceLoadRenderer,218,18,0,2,0,False
ResourceMoveDownAction,42,7,0,2,13,False
ResourceMoveUpAction,41,7,0,2,13,False
ResourceNewAction,51,9,0,1,24,False
ResourceNode,119,20,0.08,1,17,False
ResourcePropertiesAction,36,6,0,1,12,False
ResourceSaver,78,4,0,4,71,False
ResourceSearchService,28,1,0,0,0,False
ResourceSendMailAction,34,5,0,6,15,False
ResourcesTableModel,192,23,0,4,91,True
ResourceTableNode,18,7,0,1,0,False
ResourceTagHandler,173,17,0,4,67,False
ResourceTreeImageGenerator,121,10,0.1,1,103,False
ResourceTreeTable,196,22,0,1,65,False
ResourceTreeTableModel,322,36,0,1,0,True
Result,10,3,0,0,0,False
RetainRootsAlgorithm,18,2,0,4,0,False
RoleEvent,12,3,0,1,0,False
RoleImpl,51,10,0.07,1,0,False
RoleManagerImpl,177,22,0.01,1,51,False
RolePersistentID,35,7,0,1,0,False
RoleSetImpl,104,18,0,2,17,False
RoleSetListModel,67,10,0.05,2,16,False
RoleSetPage,115,7,0,1,0,False
RoleTagHandler,69,9,0,2,17,False
RowHeightAligner,19,4,0,1,2,False
RssFeed,21,1,0,0,0,False
RssFeedChecker,190,31,0.07,1,71,False
RssParser,109,9,0.04,6,11,False
SaveProjectAction,60,12,0,1,7,False
SaveProjectAsAction,18,4,0,1,0,False
SaverBase,64,11,0,1,5,False
SaveURLAction,29,5,0,2,3,False
SchedulerImpl,183,14,0,5,146,False
ScrollingManagerImpl,38,7,0,1,0,False
ScrollingSessionImpl,66,8,0,3,43,False
ScrollTimeIntervalAction,25,7,0,1,1,False
ScrollToEndAction,25,6,0,2,2,False
ScrollToSelectionAction,35,6,0,1,20,False
ScrollToStartAction,18,5,0,1,2,False
ScrollToTodayAction,13,3,0,1,1,False
ScrollViewInteraction,22,5,0,1,3,False
SearchDialog,148,25,0,4,12,False
SearchDialogAction,13,3,0,1,0,False
SearchKey,62,10,0,1,0,False
SearchResult,41,12,0,2,0,False
SearchServiceBase,35,9,0,2,11,False
SearchUiImpl,127,9,0,1,0,False
SelectionKeeper,29,6,0,4,8,False
ServerListOption,121,2,0,0,0,False
SettingsDialog2,54,6,0,5,28,False
SettingsDialogAction,16,4,0,1,0,False
ShiftTaskTreeAlgorithm,46,8,0,4,16,False
ShortDateFormatOption,49,8,0,1,11,False
ShowChannelAction,49,9,0,1,10,False
ShowHideColumnsDialog,23,6,0,1,0,False
ShowHideSelectionAction,21,5,0,2,3,False
SimpleRenderedImage,488,47,0.01,5,29,True
SortTableHeaderRenderer,34,6,0,7,8,False
SortTasksAlgorithm,64,6,0,1,184,False
SpringUtilities,176,6,0,9,98,False
StartFinishConstraintImpl,57,4,0,4,16,False
StartStartConstraintImpl,59,4,0,4,16,False
State,28,8,0,1,0,False
StatusBar,42,9,0,1,4,False
Step1,90,5,0,3,90,False
Step2,29,1,0,8,21,False
Step3,47,6,0,1,4,False
StringOptionImpl,25,6,0,1,0,False
StringUtils,80,5,0,5,1,False
Stub,21,5,0,1,0,False
StyledPainterImpl,321,36,0,13,0,True
SuccessState,4,1,0,1,0,False
TableAndActionsImpl,38,4,0,1,16,False
TableHeaderUiFacadeImpl,210,22,0.01,4,167,False
TableModelImpl,142,22,0.04,15,32,False
TableModelImpl,59,5,0,8,1,False
TaskActionBase,116,25,0.02,1,5,False
TaskActivitiesAlgorithm,24,3,0,7,25,False
TaskActivityChartApi,32,8,0,1,4,False
TaskActivityImpl,61,15,0,1,1,False
TaskActivityPart,76,15,0.04,1,2,False
TaskAllocationsPanel,114,18,0.25,3,31,False
TaskBoundaryChartItem,13,3,0,1,0,False
TaskBuilder,99,33,0,1,0,False
TaskComboItem,30,6,0,1,4,False
TaskContainmentHierarchyFacadeImpl,286,31,0,3,64,True
TaskDeleteAction,67,8,0,1,7,False
TaskDependenciesPanel,93,16,0.05,1,46,False
TaskDependencyCollectionImpl,297,19,0,1,0,True
TaskDependencyEvent,12,3,0,1,0,False
TaskDependencyException,16,4,0,0,0,False
TaskDependencyImpl,157,29,0,1,3,False
TaskDependencySliceAsDependant,10,2,0,1,2,False
TaskDependencySliceAsDependee,10,2,0,1,2,False
TaskDependencySliceImpl,67,11,0,1,14,False
TaskDisplayColumnsTagHandler,87,18,0,1,5,False
TaskDocumentOrderComparator,14,3,0,3,1,False
TaskFieldImpl,48,12,0,1,0,False
TaskHierarchyEvent,26,7,0,1,0,False
TaskHierarchyItem,62,11,0,5,0,False
TaskHierarchyManagerImpl,13,3,0,1,0,False
TaskImpl,1209,39,0,1,0,True
