Lines of Code,Number Of Members,TCC,WMC,Large Class
14,3,0,1,False
191,10,0,1,False
419,10,0,0,True
53,10,0,1,False
357,49,0,3,True
295,11,0,1,False
175,34,0.02,1,False
78,16,0,1,False
3,0,0,0,False
180,31,0.02,1,False
7,2,0,1,False
6,1,0,1,False
43,1,0,3,False
124,8,0,1,False
28,8,0,1,False
65,17,0,1,False
5,1,0,0,False
59,4,0,9,False
136,12,0,4,False
28,6,0,2,False
13,4,0,0,False
23,7,0,0,False
71,9,0.07,5,False
5,1,0,0,False
6,1,0,0,False
5,1,0,0,False
36,6,0,2,False
57,12,0.03,2,False
28,2,0,2,False
21,4,0,1,False
62,9,0,1,False
109,14,0,2,False
10,1,0,1,False
6,1,0,1,False
8,2,0,0,False
22,3,0,1,False
14,3,0,1,False
59,9,0,1,False
273,18,0,12,True
62,17,0,1,False
25,4,0,1,False
47,11,0,3,False
12,3,0,1,False
453,26,0,3,True
92,17,0.4,1,False
15,3,0,1,False
11,2,0,1,False
57,4,0,1,False
23,5,0,1,False
20,5,0,1,False
62,12,0,1,False
30,6,0,1,False
67,14,0,2,False
56,6,0,11,False
32,5,0,1,False
441,28,0,1,True
269,56,0.13,1,True
83,13,0,1,False
41,6,0,4,False
49,7,0,2,False
11,3,0,1,False
655,2,0,0,True
236,9,0,0,False
141,8,0,0,False
16,3,0,1,False
69,13,0,1,False
58,15,0,1,False
38,7,0,1,False
186,28,0.02,2,True
255,18,0,0,False
21,4,0,1,False
63,13,0.11,1,False
26,6,0,4,False
138,23,0,1,False
116,9,0,4,False
53,5,0,1,False
13,2,0,2,False
12,2,0,1,False
76,12,0,1,False
5,1,0,1,False
13,3,0,1,False
85,20,0.01,1,False
386,21,0,4,True
15,4,0,1,False
115,1,0,0,False
11,3,0,1,False
20,3,0,1,False
9,3,0,0,False
218,42,0,1,False
64,15,0,1,False
51,6,0,1,False
29,5,0,2,False
19,1,0,4,False
39,9,0,1,False
205,5,0,0,True
67,13,0,1,False
187,7,0,1,False
54,15,0,1,False
128,25,0.01,5,False
25,7,0,1,False
66,13,0,1,False
120,13,0,2,False
112,22,0.01,1,False
121,13,0,4,False
69,9,0,4,False
22,7,0,1,False
109,9,0,2,False
121,1,0,18,False
50,15,0,1,False
24,6,0,1,False
24,6,0,1,False
23,4,0,2,False
36,7,0,2,False
25,4,0,6,False
20,3,0,1,False
41,10,0,1,False
213,1,0,0,True
70,11,0,6,False
37,1,0,7,False
19,3,0,3,False
29,7,0,1,False
114,23,0.01,5,False
38,7,0,2,False
65,4,0,4,False
28,5,0,1,False
38,7,0,1,False
31,7,0,1,False
891,6,0,1,True
57,8,0,6,False
211,25,0,2,False
135,14,0,1,False
24,7,0,0,False
44,4,0,1,False
245,1,0,0,True
44,11,0,1,False
358,49,0,1,True
9,2,0,0,False
80,10,0,2,False
20,3,0,1,False
80,15,0,1,False
17,4,0,0,False
323,32,0,4,True
39,6,0,1,False
6,1,0,1,False
111,12,0,2,False
24,4,0,2,False
24,5,0,2,False
9,2,0,1,False
18,4,0,1,False
13,2,0,2,False
17,2,0,4,False
87,16,0,1,False
32,6,0,1,False
165,25,0,1,False
63,8,0,7,False
13,4,0,1,False
77,11,0,1,False
132,1,0,0,False
9,2,0,0,False
56,9,0.05,1,False
94,10,0,4,False
9,1,0,3,False
40,7,0,2,False
12,1,0,1,False
216,22,0.11,1,False
50,11,0,2,False
4,1,0,1,False
15,5,0,1,False
151,13,0,6,False
52,9,0,1,False
368,44,0,3,True
107,19,0,1,False
16,4,0,0,False
50,3,0,3,False
42,7,0,1,False
51,11,0,1,False
49,5,0,3,False
33,5,0,5,False
56,4,0,4,False
65,4,0,4,False
26,11,0,0,False
67,6,0,3,False
93,13,0,1,False
13,5,0,1,False
182,32,0.1,2,True
11,2,0,1,False
62,14,0,1,False
95,18,0,1,False
28,1,0,7,False
32,10,0,1,False
116,15,0,1,False
209,32,0,1,False
42,5,0,4,False
120,33,0,1,False
318,37,0,1,True
27,4,0,1,False
354,1,0,0,True
22,4,0,1,False
63,10,0,2,False
962,49,0,1,True
87,7,0,1,False
41,11,0,1,False
50,5,0,3,False
1146,29,0,1,True
391,59,0,1,True
457,45,0,1,True
409,52,0.01,1,True
43,6,0,1,False
211,10,0,1,False
29,6,0,1,False
53,4,0,2,False
570,85,0.03,1,True
508,51,0,1,True
56,10,0,1,False
25,2,0,2,False
98,12,0,2,False
469,1,0,0,True
26,3,0,6,False
541,36,0,2,True
5,1,0,0,False
204,22,0,1,False
234,7,0,2,False
134,18,0.23,1,False
15,4,0,1,False
59,14,0,1,False
274,45,0.01,1,False
96,1,0,0,False
93,17,0.18,1,False
57,11,0,1,False
76,6,0,1,False
158,20,0,1,False
87,12,0.4,1,False
80,15,0,1,False
1018,14,0,1,True
121,13,0,1,False
45,32,0,3,False
24,6,0,1,False
97,14,0,4,False
73,8,0,2,False
37,8,0,1,False
96,11,0,1,False
118,6,0,1,False
31,8,0,2,False
32,3,0,2,False
95,11,0,1,False
201,27,0.02,4,False
20,3,0,3,False
348,42,0,1,True
263,1,0,0,False
45,10,0,1,False
83,20,0,1,False
4,2,0,0,False
61,13,0,1,False
63,14,0,1,False
106,22,0,3,False
55,11,0,2,False
37,6,0,2,False
195,12,0,6,False
22,4,0,1,False
63,4,0,1,False
21,5,0,3,False
20,3,0,1,False
117,10,0,10,False
35,6,0,4,False
9,3,0,0,False
30,6,0,1,False
10,2,0,1,False
25,6,0,5,False
42,8,0,1,False
67,10,0,4,False
43,5,0,2,False
25,5,0,0,False
24,7,0,1,False
163,1,0,0,False
23,3,0,5,False
34,3,0,1,False
8,1,0,5,False
18,5,0,1,False
10,5,0,0,False
69,15,0,1,False
116,2,0,0,False
272,31,0.09,8,True
6,1,0,1,False
45,4,0,4,False
37,8,0,1,False
58,12,0,1,False
127,15,0.21,5,False
32,5,0,1,False
23,5,0,2,False
66,5,0,1,False
15,2,0,1,False
17,4,0,1,False
25,2,0,3,False
32,6,0,1,False
60,9,0,5,False
11,4,0,0,False
46,11,0,2,False
25,9,0,1,False
5,1,0,0,False
348,53,0.02,1,True
73,8,0,3,False
113,17,0.03,1,False
17,3,0,1,False
5,1,0,0,False
5,1,0,0,False
20,4,0,2,False
44,10,0,3,False
90,7,0,3,False
18,4,0,1,False
13,1,0,1,False
40,8,0,1,False
21,4,0,1,False
57,13,0,3,False
81,15,0.08,1,False
82,17,0,4,False
25,5,0,1,False
171,29,0,1,False
37,9,0,1,False
124,17,0,1,False
47,11,0.07,2,False
19,5,0,1,False
15,3,0,1,False
32,4,0,3,False
40,7,0,5,False
41,8,0,1,False
30,5,0,2,False
5,1,0,1,False
63,15,0.02,1,False
47,6,0,2,False
30,4,0,9,False
764,55,0,10,True
27,4,0,2,False
13,2,0,3,False
77,10,0,3,False
26,6,0,1,False
75,8,0,2,False
75,14,0.04,5,False
36,7,0,6,False
7,5,0,0,False
21,6,0,1,False
14,2,0,1,False
11,2,0,1,False
29,8,0,1,False
96,5,0,1,False
52,9,0,2,False
42,7,0.33,2,False
23,4,0,2,False
190,32,0,1,False
93,17,0,1,False
15,3,0,2,False
42,8,0,3,False
119,19,0,1,False
74,6,0,7,False
79,14,0,1,False
19,4,0,1,False
26,1,0,5,False
722,48,0,3,True
67,14,0,1,False
103,12,0,3,False
77,15,0.14,3,False
16,3,0,1,False
78,16,0,1,False
30,6,0,1,False
29,1,0,0,False
37,7,0,1,False
160,19,0.04,1,False
25,6,0,1,False
23,5,0,1,False
75,10,0,1,False
30,6,0,2,False
28,6,0,2,False
134,15,0,3,False
69,8,0.11,3,False
7,1,0,1,False
243,18,0,4,True
43,5,0,1,False
25,5,0,1,False
68,12,0.07,2,False
126,18,0.02,1,False
244,25,0,1,False
16,3,0,1,False
18,1,0,5,False
75,11,0,1,False
129,14,0,1,False
416,30,0,1,False
5,1,0,0,False
5,1,0,0,False
195,20,0,1,False
48,5,0,1,False
209,18,0.05,1,False
77,13,0,1,False
67,11,0,3,False
28,5,0,1,False
57,10,0,1,False
19,4,0,1,False
58,5,0,8,False
72,12,0,1,False
46,11,0,2,False
76,19,0,1,False
343,17,0,1,True
68,15,0.02,1,False
64,12,0.16,1,False
44,4,0,5,False
64,15,0.02,1,False
46,13,0,1,False
73,9,0,4,False
11,2,0,1,False
52,10,0,1,False
45,8,0,1,False
37,8,0,1,False
49,9,0,1,False
16,4,0,1,False
182,20,0,1,False
25,6,0,1,False
218,18,0,2,False
42,7,0,2,False
41,7,0,2,False
51,9,0,1,False
119,20,0.08,1,False
36,6,0,1,False
78,4,0,4,False
28,1,0,0,False
34,5,0,6,False
192,23,0,4,True
18,7,0,1,False
173,17,0,4,False
121,10,0.1,1,False
196,22,0,1,False
322,36,0,1,True
10,3,0,0,False
18,2,0,4,False
12,3,0,1,False
51,10,0.07,1,False
177,22,0.01,1,False
35,7,0,1,False
104,18,0,2,False
67,10,0.05,2,False
115,7,0,1,False
69,9,0,2,False
19,4,0,1,False
21,1,0,0,False
190,31,0.07,1,False
109,9,0.04,6,False
60,12,0,1,False
18,4,0,1,False
64,11,0,1,False
29,5,0,2,False
183,14,0,5,False
38,7,0,1,False
66,8,0,3,False
25,7,0,1,False
25,6,0,2,False
35,6,0,1,False
18,5,0,1,False
13,3,0,1,False
22,5,0,1,False
148,25,0,4,False
13,3,0,1,False
62,10,0,1,False
41,12,0,2,False
35,9,0,2,False
127,9,0,1,False
29,6,0,4,False
121,2,0,0,False
54,6,0,5,False
16,4,0,1,False
46,8,0,4,False
97,8,0,1,False
49,9,0,1,False
23,6,0,1,False
21,5,0,2,False
488,47,0.01,5,True
34,6,0,7,False
64,6,0,1,False
176,6,0,9,False
57,4,0,4,False
59,4,0,4,False
28,8,0,1,False
42,9,0,1,False
90,5,0,3,False
29,1,0,8,False
47,6,0,1,False
25,6,0,1,False
80,5,0,5,False
21,5,0,1,False
321,36,0,13,True
4,1,0,1,False
38,4,0,1,False
210,22,0.01,4,False
142,22,0.04,15,False
59,5,0,8,False
116,25,0.02,1,False
24,3,0,7,False
32,8,0,1,False
61,15,0,1,False
76,15,0.04,1,False
114,18,0.25,3,False
13,3,0,1,False
99,33,0,1,False
30,6,0,1,False
286,31,0,3,True
67,8,0,1,False
93,16,0.05,1,False
297,19,0,1,True
12,3,0,1,False
16,4,0,0,False
157,29,0,1,False
10,2,0,1,False
10,2,0,1,False
67,11,0,1,False
87,18,0,1,False
14,3,0,3,False
48,12,0,1,False
26,7,0,1,False
62,11,0,5,False
13,3,0,1,False
1209,39,0,1,True
48,7,0,2,False
32,7,0,1,False
60,6,0,2,False
42,10,0,1,False
81,10,0,1,False
37,6,0,1,False
1149,19,0,2,True
56,14,0,1,False
60,12,0,1,False
62,7,0,2,False
59,7,0,1,False
64,7,0,2,False
21,4,0,1,False
58,11,0.05,1,False
131,18,0.08,4,False
7,1,0,0,False
5,1,0,0,False
247,16,0,1,False
55,9,0,1,False
25,4,0,2,False
14,3,0,1,False
8,1,0,0,False
613,15,0,1,True
167,6,0,2,False
276,41,0.05,3,True
38,10,0,1,False
30,1,0,0,False
154,21,0,2,False
179,11,0,2,False
145,11,0,1,False
121,7,0,2,False
51,7,0,2,False
46,6,0,2,False
10,2,0,1,False
19,3,0,1,False
157,18,0,3,False
20,3,0,1,False
249,30,0.01,6,False
66,15,0,1,False
5,1,0,0,False
71,10,0,1,False
41,6,0,4,False
289,1,0,0,True
24,1,0,3,False
23,6,0,2,False
108,18,0,1,False
295,6,0,0,False
98,12,0,2,False
202,40,0,1,False
637,92,0,10,True
608,25,0,1,True
85,13,0,2,False
57,10,0,1,False
116,23,0,3,False
107,16,0.04,3,False
105,16,0,3,False
19,1,0,4,False
31,4,0,1,False
56,5,0,16,False
55,10,0,1,False
19,4,0,3,False
59,12,0,2,False
13,3,0,1,False
9,1,0,1,False
106,21,0,1,False
42,2,0,0,False
57,5,0,3,False
31,7,0,1,False
29,7,0,1,False
31,6,0,2,False
24,1,0,8,False
36,7,0,1,False
8,2,0,0,False
134,15,0,2,False
11,3,0,0,False
49,13,0.07,2,False
288,1,0,0,True
74,12,0,1,False
150,1,0,0,False
