Lines of Code,Cyclometic Complexity,Number Of Parameters,# Inner Invocations,# Outer Invocations,ATFD,FDP,LAA,MAXNESTING,NOAV,Feature Envy,Long Method
86,24,3,5,236,119,15,0,3,47,True,True
64,29,0,117,168,110,11,0.22,3,63,True,True
72,23,2,18,656,159,9,0.01,4,22,False,True
133,32,1,4,171,53,8,0.09,3,48,False,True
15,2,1,0,31,18,8,0.22,4,15,False,False
88,24,1,6,254,116,7,0.04,4,31,True,True
18,2,1,6,41,33,7,0.26,3,19,False,False
19,7,0,2,33,30,7,0.2,4,18,False,False
17,4,1,0,55,28,7,0,3,13,False,False
27,8,0,0,47,21,7,0,3,9,False,False
13,2,2,0,23,13,7,0,2,12,False,False
20,8,2,2,21,11,7,0.27,5,15,False,False
43,16,4,0,454,176,6,0.01,3,19,True,True
48,14,1,4,231,136,6,0.02,6,25,False,True
35,9,5,3,164,102,6,0.01,4,25,False,True
44,8,1,0,110,68,6,0.04,2,36,False,False
23,6,0,4,89,52,6,0.08,3,14,False,False
27,4,1,0,55,50,6,0.1,2,53,False,False
16,4,1,3,18,8,6,0.36,4,13,False,False
39,12,2,0,103,75,5,0.03,4,28,False,True
62,10,7,0,82,60,5,0,3,32,False,True
46,10,2,3,115,48,5,0.04,3,19,False,False
39,11,0,4,59,47,5,0,6,11,False,True
14,3,1,0,53,35,5,0.03,3,11,False,False
25,7,2,0,59,32,5,0,3,15,False,False
14,8,1,2,50,31,5,0.1,3,15,False,False
43,15,3,13,68,28,5,0.22,3,24,False,True
15,5,1,0,42,27,5,0.04,4,11,False,False
13,3,2,0,51,26,5,0,3,12,False,False
87,4,0,4,84,25,5,1.96,3,58,False,True
12,4,2,0,29,25,5,0.08,3,11,False,False
22,11,2,10,33,23,5,0.13,2,17,False,False
11,3,1,0,26,22,5,0.41,3,12,False,False
25,5,1,0,52,21,5,0.29,3,15,False,True
44,4,1,24,70,20,5,0.21,3,21,False,True
20,4,5,2,30,18,5,0.11,3,20,False,False
16,4,0,0,23,16,5,1,2,24,False,False
15,7,1,3,17,16,5,0.26,3,21,False,False
16,4,0,0,23,16,5,0.06,2,10,False,False
16,4,0,0,23,16,5,0.06,2,10,False,False
99,8,0,6,27,15,5,0.5,3,48,False,True
24,8,1,0,16,13,5,0.23,2,17,False,False
40,7,0,3,13,10,5,0.69,3,19,False,True
18,1,2,4,19,10,5,0,1,12,False,False
85,5,0,0,43,9,5,0.33,3,29,False,True
17,3,0,0,19,7,5,1.14,3,11,False,False
6,1,1,0,8,6,5,0.5,1,11,False,False
56,7,2,8,139,72,4,0.06,5,24,False,True
16,2,1,2,57,56,4,0.02,3,13,True,False
26,8,1,0,66,54,4,0.07,3,25,False,False
19,5,1,16,52,52,4,0.05,4,14,False,False
32,12,2,0,64,36,4,0.22,4,11,False,False
45,9,7,21,68,34,4,0,3,28,False,True
17,3,1,0,30,27,4,0.19,3,13,False,False
18,4,2,0,51,27,4,0.11,3,15,True,False
16,6,1,0,53,25,4,0.36,3,14,False,False
25,5,1,7,56,25,4,0.19,5,21,False,True
22,3,1,0,59,24,4,0.38,3,23,False,False
60,22,1,3,110,22,4,0.27,4,17,False,True
13,4,0,7,30,22,4,0.27,4,9,False,False
21,13,2,0,24,21,4,0.05,3,11,False,False
18,5,2,0,36,19,4,0.26,2,12,False,False
13,4,2,1,19,19,4,0.05,3,8,False,False
14,3,1,0,32,18,4,0.44,2,14,False,False
18,2,1,0,48,18,4,0.28,4,11,False,False
12,4,3,0,26,18,4,0.11,2,10,False,False
21,2,2,9,41,18,4,0,3,12,False,False
19,7,4,0,20,17,4,0.35,2,17,False,False
16,4,1,12,33,16,4,0.57,2,17,False,False
16,5,1,5,38,16,4,0.19,5,11,False,False
16,4,0,0,23,16,4,0.06,2,9,False,False
16,4,0,0,23,16,4,0.06,2,9,False,False
7,2,1,4,18,15,4,0.2,2,8,False,False
12,3,3,0,66,14,4,0.5,3,8,False,False
18,6,1,24,29,14,4,0.27,4,14,False,False
21,7,3,7,16,14,4,0.18,3,11,False,False
9,3,1,0,18,13,4,0.38,3,8,False,False
16,5,1,8,20,12,4,0.5,3,10,False,False
9,2,1,0,16,11,4,0.45,2,11,False,False
6,1,0,4,10,10,4,0.64,1,12,False,False
8,3,1,0,19,10,4,0.2,2,8,False,False
16,4,2,3,14,8,4,0.91,3,12,False,False
9,2,1,0,14,8,4,0.5,2,10,False,False
11,3,2,3,12,7,4,1.11,3,10,False,False
18,3,0,0,19,7,4,0.43,3,12,False,False
14,2,1,2,9,6,4,1.33,2,10,False,False
4,1,1,0,7,6,4,0.5,1,7,False,False
10,1,1,0,11,6,4,0.33,3,9,False,False
47,8,0,0,9,5,4,9.8,3,49,False,True
4,1,1,0,6,5,4,0.6,1,8,False,False
3,1,1,0,4,4,4,12.25,1,6,False,False
6,1,0,2,4,4,4,2,1,8,False,False
13,2,1,0,9,4,4,1,4,8,False,False
6,1,0,0,7,4,4,0.5,1,9,False,False
38,8,3,11,74,37,3,0.22,3,17,False,False
17,4,2,0,77,35,3,0,3,13,False,False
31,10,0,8,67,34,3,0.15,5,12,False,True
68,5,0,8,57,32,3,0.2,3,50,False,True
27,7,0,0,87,31,3,0.35,8,25,False,False
30,7,0,7,35,30,3,0.14,4,19,False,True
47,13,1,8,66,29,3,0.21,3,23,False,True
23,5,4,0,66,28,3,0.11,3,13,False,False
11,4,1,8,25,24,3,0.09,2,8,False,False
19,6,3,0,45,24,3,0,3,13,False,True
27,7,0,0,38,23,3,0.3,3,19,False,False
13,5,0,0,36,23,3,0.17,4,15,False,False
28,8,2,0,58,22,3,0.18,3,15,False,False
17,5,0,5,45,22,3,0.11,3,6,False,False
28,8,3,7,42,21,3,0.26,2,24,False,False
13,2,2,2,29,20,3,0.36,2,19,False,False
27,14,1,4,26,20,3,0.15,3,9,False,True
15,7,2,0,20,20,3,0,3,13,False,False
30,7,1,0,26,19,3,0.47,3,13,False,False
28,7,1,12,44,18,3,0.23,4,11,False,True
12,5,1,0,21,18,3,0.17,2,9,False,False
26,9,1,0,48,17,3,0.35,3,21,False,False
8,3,0,2,16,16,3,0,3,4,False,False
10,5,0,9,15,15,3,0.28,2,8,False,False
24,4,2,3,36,15,3,0.2,3,7,False,True
21,5,1,4,22,15,3,0.19,3,13,False,False
10,2,0,0,14,14,3,1.14,2,16,False,False
8,3,1,0,18,14,3,0.36,3,7,False,False
10,10,2,0,17,14,3,0.21,2,7,False,False
9,3,0,0,20,14,3,0.14,3,5,False,False
15,4,0,5,26,13,3,0.54,3,11,False,False
14,4,0,5,26,13,3,0.38,3,11,False,False
8,2,0,3,16,13,3,0.08,2,4,False,False
7,2,0,3,13,13,3,0.08,2,5,False,False
38,4,2,1,31,13,3,0,3,20,False,True
12,6,1,0,24,12,3,0.17,5,8,False,False
63,5,0,1,13,12,3,0.08,4,15,False,True
30,9,2,0,27,12,3,0.08,2,12,False,True
12,3,0,0,11,11,3,0.18,2,6,False,False
14,3,1,0,20,10,3,0.6,3,14,False,False
11,3,0,0,15,10,3,0.2,3,4,False,False
25,4,2,1,15,10,3,0.1,2,22,True,True
8,2,1,3,18,10,3,0.1,2,6,False,False
7,2,0,3,13,10,3,0.1,2,4,False,False
7,2,0,3,13,10,3,0.1,2,4,False,False
7,2,0,3,10,10,3,0.1,2,4,False,False
5,2,1,0,12,9,3,0.56,2,6,False,False
25,4,0,0,18,9,3,0.44,3,15,False,False
8,3,0,3,9,9,3,0.22,3,4,False,False
5,3,1,0,8,8,3,1.75,2,7,False,False
8,3,0,0,8,8,3,1.38,2,15,False,False
18,5,1,0,15,8,3,0.5,6,14,False,False
24,7,1,0,14,8,3,0.38,2,13,False,False
20,2,1,0,18,8,3,0.12,4,8,False,False
19,2,1,0,21,8,3,0.12,4,10,False,False
80,16,3,0,15,8,3,0.12,3,13,True,True
6,3,1,3,10,8,3,0,2,6,False,False
19,1,4,0,11,7,3,2.29,3,9,False,False
6,1,1,0,8,7,3,2.29,1,4,False,False
12,4,3,5,10,7,3,0.71,2,11,False,False
12,3,2,0,12,7,3,0.71,2,7,False,False
