Name,LOC,CYCLO,Number Of Parameters,# Inner Invocations,# Outer Invocations,ATFD,FDP,LAA,MAXNESTING,NOAV,Feature_Envy,Feature_EnvyScore,Long_Method,Long_MethodScore
actionPerformed,4,1,1,0,1,0,0,0,1,3,False,0,False,0
createHtml,9,1,1,0,5,3,0,0.67,1,7,False,0,False,0
createHtmlPage,3,1,1,2,1,0,0,0,1,1,False,0,False,0
createHtmlPage,15,1,3,0,8,3,0,0.67,1,9,False,0,False,0
createPages,7,1,0,3,3,0,0,0,1,1,False,0,False,0
createSummaryPage,26,1,0,3,19,6,1,0.33,2,9,False,0,False,0
createTranslationsPage,14,6,0,1,18,12,2,0.17,3,10,False,0,False,0
i18n,3,1,1,0,2,2,1,1,1,3,False,0,False,0
onOk,2,1,0,0,0,0,0,0,1,0,False,0,False,0
acquireLock,3,1,0,0,0,0,0,0,1,0,False,0,False,0
equals,6,3,1,1,3,2,1,0,2,2,False,0,False,0
getFilePath,3,1,0,0,0,0,0,0,1,0,False,0,False,0
getLastError,3,1,0,0,0,0,0,0,1,0,False,0,False,0
getPassword,3,1,0,0,0,0,0,0,1,0,False,0,False,0
getPortfolio,3,1,0,0,1,0,0,0,1,0,False,0,False,0
getUsername,3,1,0,0,0,0,0,0,1,0,False,0,False,0
read,3,1,0,0,1,0,0,0,1,0,False,0,False,0
releaseLock,2,1,0,0,0,0,0,0,1,0,False,0,False,0
setUserInfo,2,1,2,0,0,0,0,0,1,2,False,0,False,0
accept,3,1,1,0,0,0,0,0,1,1,False,0,False,0
actionPerformed,4,1,1,0,0,0,0,0,1,4,False,0,False,0
actionPerformed,5,1,1,0,0,0,0,0,1,4,False,0,False,0
changedUpdate,3,1,1,0,0,0,0,0,1,1,False,0,False,0
createSecondaryOptionsPanel,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getChooser,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getComponent,78,2,0,0,0,0,0,0,3,23,False,0,True,0
getDescription,3,1,0,0,0,0,0,0,1,0,False,0,False,0
getFileChooserSelectionMode,3,1,0,0,0,0,0,0,1,0,False,0,False,0
getFileStatus,12,7,1,0,0,0,0,0,2,1,False,0,False,0
getOptionGroups,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getPreferences,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getSelectedUrl,16,7,0,0,0,0,0,0,3,5,False,0,False,0
getWizard,3,1,0,0,0,0,0,0,1,1,False,0,False,0
insertUpdate,3,1,1,0,0,0,0,0,1,1,False,0,False,0
loadPreferences,14,4,0,0,0,0,0,0,2,11,False,0,False,0
onChange,3,1,0,0,0,0,0,0,1,0,False,0,False,0
onFetchComplete,4,1,1,0,0,0,0,0,1,1,False,0,False,0
onFileChosen,3,1,1,0,0,0,0,0,1,1,False,0,False,0
onSelectedFileChange,9,2,1,0,0,0,0,0,3,3,False,0,False,0
removeUpdate,3,1,1,0,0,0,0,0,1,1,False,0,False,0
reportMalformedUrl,2,1,1,0,0,0,0,0,1,1,False,0,False,0
setActive,21,5,1,0,0,0,0,0,3,16,False,0,False,0
setEnabledTree,3,1,2,0,0,0,0,0,1,2,False,0,False,0
setFile,1,1,1,0,0,0,0,0,0,1,False,0,False,0
setOptionsEnabled,5,2,1,0,0,0,0,0,2,3,False,0,False,0
showStatus,9,2,2,0,0,0,0,0,3,2,False,0,False,0
actionPerformed,3,1,1,0,0,0,0,0,1,1,False,0,False,0
isPageVisible,3,1,1,0,0,0,0,0,1,2,False,0,False,0
