Name,LOC,Number Of Members,TCC,WMC,ATFD,Large_Class
ActiveTestSuite,57,10,0,1,0,False
AllDefaultPossibilitiesBuilder,48,8,0,3,0,False
AllMembersSupplier,182,1,0,0,0,False
AllTests,8,1,0,0,0,False
AnnotatableValidator,35,5,0,4,2,False
AnnotatedBuilder,46,6,0,7,8,False
AnnotationsValidator,100,3,0,4,0,False
AnnotationValidator,41,4,0,1,0,False
AnnotationValidatorFactory,33,2,0,7,3,False
ArrayComparisonFailure,55,7,0,1,1,False
Assert,331,39,0,3,0,False
Assert,935,67,0,2,0,False
AssertionFailedError,24,4,0,3,0,False
Assignments,134,18,0.01,2,7,False
Assume,123,9,0,1,0,False
AssumptionViolatedException,33,5,0,0,0,False
AssumptionViolatedException,97,12,0,5,0,False
BaseTestRunner,301,34,0.01,4,7,False
BlockJUnit4ClassRunner,381,35,0,3,27,False
BlockJUnit4ClassRunnerWithParameters,125,14,0.04,1,12,False
BlockJUnit4ClassRunnerWithParametersFactory,7,1,0,1,0,False
BooleanSupplier,9,1,0,1,0,False
Builder,60,7,0,2,0,False
Builder,63,10,0,1,0,False
Builder,25,7,0,1,0,False
CallableStatement,19,3,0,1,0,False
Categories,305,3,0,0,0,False
CategoryFilter,192,23,0,9,6,False
CategoryFilterFactory,34,3,0,6,2,False
CategoryValidator,36,3,0,2,1,False
Classes,11,1,0,2,1,False
ClassRequest,33,7,0,3,0,False
ClassRoadie,63,10,0,5,3,False
ClassValidator,12,2,0,1,0,False
Clock,6,1,0,1,0,False
CommandLineParserError,7,2,0,0,0,False
ComparisonCompactor,75,16,0,1,0,False
ComparisonCompactor,101,11,0,3,0,False
ComparisonCriteria,72,4,0.17,1,1,False
ComparisonFailure,49,8,0,1,0,False
ComparisonFailure,160,9,0,1,0,False
Computer,29,4,0,2,0,False
CouldNotGenerateValueException,10,3,0,0,0,False
CouldNotReadCoreException,10,2,0,0,0,False
DeclaringClassMustBePublic,12,2,0,2,3,False
Description,287,36,0,3,6,False
DiffExtractor,39,8,0,1,0,False
DisableOnDebug,82,7,0,1,0,False
