Name,LOC,Number Of Members,TCC,WMC,ATFD,Large_Class
ActiveTestSuite,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
AllDefaultPossibilitiesBuilder,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
AllMembersSupplier,bin_151_125_302_25,,bin_0_0_05,bin_0_2_25,bin_0_10_875,True
AllTests,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
AnnotatableValidator,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
AnnotatedBuilder,bin_0_151_125,,bin_0_0_05,bin_6_75_9,bin_0_10_875,False
AnnotationsValidator,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
AnnotationValidator,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
AnnotationValidatorFactory,bin_0_151_125,,bin_0_0_05,bin_6_75_9,bin_0_10_875,False
ArrayComparisonFailure,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Assert,bin_302_25_453_375,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,True
Assert,bin_906_75_1057_875,,bin_0_0_05,bin_0_2_25,bin_0_10_875,True
AssertionFailedError,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
Assignments,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Assume,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
AssumptionViolatedException,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
AssumptionViolatedException,bin_0_151_125,,bin_0_0_05,bin_4_5_6_75,bin_0_10_875,False
BaseTestRunner,bin_151_125_302_25,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,True
BlockJUnit4ClassRunner,bin_302_25_453_375,,bin_0_0_05,bin_2_25_4_5,bin_21_75_32_625,True
BlockJUnit4ClassRunnerWithParameters,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_10_875_21_75,False
BlockJUnit4ClassRunnerWithParametersFactory,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
BooleanSupplier,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
